OutletId,Name,State,City,WebsiteUrl,TwitterHandle,FacebookUrl,CreatedAt
60,Kingfisher Times,OK,"Kingfisher, OK",http://kingfisherpress.net/,kingfishertimes,https://www.facebook.com/KingfisherPress,2020-10-19 15:04:40.567
61,Lawton Constitution,OK,"Lawton, OK",http://www.swoknews.com/,LawtonConst,https://www.facebook.com/pages/The-Lawton-Constitution/396363260897,2020-10-19 15:04:40.607
62,McAlester News,OK,"McAlester, OK",http://www.mcalesternews.com/,McAlesterNews,https://www.facebook.com/mcalesternewscapital,2020-10-19 15:04:40.643
63,Miami News-Record,OK,"Miami, OK",http://www.miamiok.com/,miaminewsrecord,https://www.facebook.com/miamioknews,2020-10-19 15:04:40.683
64,Muskogee Phoenix,OK,"Muskogee, OK",http://www.muskogeephoenix.com/,muskogeephoenix,https://www.facebook.com/MuskogeePhoenix,2020-10-19 15:04:40.720
65,Cordell Beacon,OK,"New Cordell, OK",https://www.cordellbeacon.com/,,https://www.facebook.com/cordellnews,2020-10-19 15:04:40.760
66,Newkirk Herald Journal,OK,"Newkirk, OK",http://newkirkherald.com/,newkirkherald,https://www.facebook.com/NewkirkHeraldJournal,2020-10-19 15:04:40.797
67,Norman Transcript,OK,"Norman, OK",http://www.normantranscript.com/,normannews,https://www.facebook.com/normantranscript,2020-10-19 15:04:40.837
68,Journal Record,OK,"Oklahoma City, OK",http://journalrecord.com/,JournalRecord,https://www.facebook.com/journalrecord,2020-10-19 15:04:40.873
69,Oklahoma Constitution,OK,"Oklahoma City, OK",http://www.oklahomaconstitution.com/,,,2020-10-19 15:04:40.913
70,Oklahoman,OK,"Oklahoma City, OK",http://newsok.com/,NewsOK,https://www.facebook.com/NewsOK,2020-10-19 15:04:40.950
71,Owasso Reporter,OK,"Owasso, OK",http://www.tulsaworld.com/communities/owasso/,owassoreporter,https://www.facebook.com/OwassoReporter,2020-10-19 15:04:40.990
72,Pauls Valley Daily Democrat,OK,"Pauls Valley, OK",http://www.paulsvalleydailydemocrat.com/,,https://www.facebook.com/pages/Pauls-Valley-Daily-Democrat/136139269733409,2020-10-19 15:04:41.040
73,Ponca City News,OK,"Ponca City, OK",http://www.poncacitynews.com/,,https://www.facebook.com/pages/The-Ponca-City-News/137888652936318,2020-10-19 15:04:41.073
74,Poteau Daily News,OK,"Poteau, OK",http://www.poteaudailynews.com/,,https://www.facebook.com/pages/Poteau-Daily-News/455205994529836,2020-10-19 15:04:41.110
75,Purcell Register,OK,"Purcell, OK",http://www.purcellregister.com/,PurcellRegister,https://www.facebook.com/purcellregister,2020-10-19 15:04:41.143
76,Sequoyah County Times,OK,"Sallisaw, OK",http://www.sequoyahcountytimes.com/,seqcotimes,https://www.facebook.com/pages/Sequoyah-County-Times/225561420502,2020-10-19 15:04:41.180
77,Sand Springs Leader,OK,"Sand Springs, OK",http://www.tulsaworld.com/communities/sandsprings/,ssleader,https://www.facebook.com/SandSpringsLeader,2020-10-19 15:04:41.217
78,Seminole Producer,OK,"Seminole, OK",http://www.seminoleproducer.com/,,,2020-10-19 15:04:41.263
79,Shawnee News-Star,OK,"Shawnee, OK",http://www.news-star.com/,shawneenewsstar,https://www.facebook.com/ShawneeNewsStar,2020-10-19 15:04:41.300
80,Skiatook Journal,OK,"Skiatook, OK",http://www.tulsaworld.com/communities/skiatook/,SkiatookJournal,https://www.facebook.com/SkiatookJournal,2020-10-19 15:04:41.350
81,Stigler News Sentinel,OK,"Stigler, OK",https://www.stiglernews.com/,,https://www.facebook.com/StiglerNewsSentinel,2020-10-19 15:04:41.383
82,Stillwater News-Press,OK,"Stillwater, OK",http://www.stwnewspress.com/,StwNewsPress,https://www.facebook.com/stillwaternewspress,2020-10-19 15:04:41.417
83,Sulphur Times-Democrat,OK,"Sulphur, OK",https://www.sulphurtimes.com/,,https://www.facebook.com/Sulphur-Times-Democrat-317903698248150/timeline/,2020-10-19 15:04:41.453
84,Tahlequah Daily Press ,OK,"Tahlequah, OK",http://www.tahlequahdailypress.com/,tahlequahtdp,https://www.facebook.com/tdpress,2020-10-19 15:04:41.493
85,GTR Newspapers,OK,"Tulsa, OK",http://www.gtrnews.com/,gtrnews,https://www.facebook.com/LikeGTR,2020-10-19 15:04:41.523
86,Tulsa World,OK,"Tulsa, OK",http://www.tulsaworld.com/,tulsaworld,https://www.facebook.com/tulsaworld,2020-10-19 15:04:41.563
87,Woodward News,OK,"Woodward, OK",http://www.woodwardnews.net/,woodwardnews,https://www.facebook.com/woodwardnews,2020-10-19 15:04:41.633
88,Sand Mountain Reporter,AL,"Albertville, AL",http://www.sandmountainreporter.com/,smrnews,https://www.facebook.com/pages/The-Sand-Mountain-Reporter/228007249376,2020-10-19 15:04:41.673
89,Alexander City Outlook,AL,"Alexander City, AL",http://www.alexcityoutlook.com/,alexcityoutlook,https://www.facebook.com/pages/The-Alexander-City-Outlook/84710064891,2020-10-19 15:04:41.710
90,Andalusia Star-News,AL,"Andalusia, AL",http://www.andalusiastarnews.com/,,https://www.facebook.com/pages/Andalusia-Star-News/53866966722,2020-10-19 15:04:41.763
91,Anniston Star,AL,"Anniston, AL",http://www.annistonstar.com/,annistonstar,https://www.facebook.com/annistonstar,2020-10-19 15:04:41.800
92,Arab Tribune,AL,"Arab, AL",http://www.thearabtribune.com/,ArabTribune,https://www.facebook.com/pages/The-Arab-Tribune/178865138834401,2020-10-19 15:04:41.840
93,Athens News Courier,AL,"Athens, AL",http://www.enewscourier.com/,newscourier,https://www.facebook.com/pages/The-News-Courier/112539230743,2020-10-19 15:04:41.870
94,Atmore Advance,AL,"Atmore, AL",http://www.atmoreadvance.com,atmoreadvance,https://www.facebook.com/pages/Atmore-Advance/83649498468,2020-10-19 15:04:41.910
95,Atmore News,AL,"Atmore, AL",http://www.atmorenews.com/,,https://www.facebook.com/newsatmore,2020-10-19 15:04:41.950
96,Auburn Plainsman,AL,"Auburn, AL",http://theplainsman.com/,TheAUPlainsman,https://www.facebook.com/theplainsman,2020-10-19 15:04:41.990
97,Baldwin Times,AL,"Bay Minette, AL",http://www.gulfcoastnewstoday.com/the_baldwin_times/,,https://www.facebook.com/GulfCoastMedia/,2020-10-19 15:04:42.027
98,Alabama Messenger,AL,"Birmingham, AL",http://www.alabamamessenger.com/,,https://www.facebook.com/pages/The-Alabama-Messenger/471601942875195,2020-10-19 15:04:42.057
99,Birmingham News,AL,"Birmingham, AL",http://www.al.com/birmingham/,ALcomBirmingham,https://www.facebook.com/birminghamnews,2020-10-19 15:04:42.097
100,Birmingham Times,AL,"Birmingham, AL",http://www.birminghamtimes.com/,BirminghamTimes,https://www.facebook.com/birmingham.times,2020-10-19 15:04:42.137
